latitude,longitude,cluster
-38.36694,-68.67925,8
-29.4419,-64.98326,-1
-24.79045,-55.38703,-1
-25.56639,-65.71832,10
-25.56639,-65.71883,10
-25.30015,-65.45538,10
-24.28953,-57.13047,111
-24.28614,-57.13105,111
-24.06824,-57.91373,109
-24.07006,-57.91225,109
-23.82499,-56.73293,141
-23.82164,-56.73351,141
-23.43084,-56.77755,169
-23.42748,-56.77812,169
-23.42581,-56.79014,168
-23.42134,-56.78308,168
-2.40872,-47.7607,1188
-23.4219,-56.7869,168
-23.42246,-56.79072,168
-23.42302,-56.79453,168
-23.41855,-56.78747,168
-23.32349,-56.24014,161
-23.44192,-57.08987,-1
-21.98806,-49.31923,94
-21.97378,-49.31766,94
7.48718,-62.28102,273
-23.4237,-57.84621,140
-23.42481,-57.85421,140
-4.04324,-50.36847,1174
-23.17473,-56.27761,161
-23.141,-56.96362,-1
-4.0439,-50.37251,1174
-23.41506,-59.13745,149
-3.84584,-49.36794,1013
-23.36325,-58.99334,149
-4.01649,-50.38523,1173
-22.93548,-56.19273,160
-3.8967,-49.70707,1339
-22.93157,-56.18955,160
-4.01143,-50.39026,1173
-22.93214,-56.19331,160
-4.01078,-50.3864,1173
-22.93271,-56.19707,160
-3.88177,-49.69186,1339
-23.30946,-59.09436,149
-3.88242,-49.69572,1339
-23.22512,-58.75945,149
-3.77388,-49.0938,1013
-23.00793,-57.48636,-1
-23.06721,-58.25673,150
-3.87632,-49.69621,1339
-3.77301,-49.08871,1013
-23.06319,-58.25321,150
-3.87564,-49.69224,1339
-23.06375,-58.25728,150
-4.09797,-51.07727,1375
-23.32601,-60.4293,139
-4.0925,-51.07825,1375
-4.0894,-51.09323,1375
-23.32794,-60.42664,139
-23.32411,-60.42718,139
-3.8583,-49.77156,1338
-22.66347,-56.49493,-1
-4.85643,-55.80956,-1
-23.12045,-59.88766,176
-3.856,-49.77132,1338
-23.13086,-59.96832,175
-4.88303,-56.20632,1255
-23.10384,-59.8469,176
-4.05329,-51.11561,1375
-4.02406,-51.00662,1404
-3.95745,-50.63903,-1
-22.7397,-57.21936,187
-4.01846,-51.00704,1404
-4.78853,-55.98523,1254
-4.78465,-55.98595,1254
-22.73353,-57.2243,187
-4.13428,-52.15471,1201
-22.73016,-57.22487,187
-22.73072,-57.22868,187
-23.08863,-59.96487,175
-4.1348,-52.1578,1201
-4.13376,-52.15167,1201
-23.07167,-60.13387,156
-3.78611,-50.15134,1317
-23.07229,-60.13666,156
-22.96511,-59.51843,-1
-3.78682,-50.15545,1317
-22.96503,-59.92344,-1
-3.90992,-50.87029,1391
-22.64859,-57.74524,157
-3.91053,-50.87389,1391
-22.64915,-57.74915,157
-3.92996,-50.98712,1403
-4.12865,-52.15242,1201
-4.12917,-52.15545,1201
-3.90748,-50.88944,1391
-3.90436,-50.87128,1391
-3.90498,-50.87492,1391
-4.7855,-56.13929,1255
-22.6497,-57.75307,157
-3.90811,-50.89311,1391
-4.78165,-56.14,1255
-22.37711,-55.98698,167
-4.78445,-56.13798,1255
-4.7852,-56.14281,1255
-22.3732,-55.98381,167
-4.78135,-56.14351,1255
-22.37377,-55.98756,167
-22.36435,-55.99306,167
-4.13707,-52.15416,1201
-22.35916,-56.0709,167
-4.13756,-52.15724,1201
-4.13806,-52.1603,1201
-21.31123,-50.27488,103
-4.13196,-52.1549,1201
-4.13146,-52.15186,1201
-22.46684,-57.25296,202
-4.13246,-52.15801,1201
-3.78804,-50.15207,1317
-22.46604,-57.25319,202
-3.90671,-50.8726,1391
-22.46213,-57.24995,202
-3.90971,-50.89084,1391
-22.46268,-57.25375,202
-22.45988,-57.25813,203
-3.78872,-50.15619,1317
-3.9073,-50.87622,1391
-22.45596,-57.2549,203
-3.9091,-50.88715,1391
-22.45652,-57.25871,203
-3.90416,-50.89188,1391
-22.45707,-57.2625,203
