latitude,longitude,cluster,distance
-6.13936,-44.92999,38,2.23011815e-06
-5.37196,-39.80838,-1,inf
-6.20196,-46.72587,-1,inf
-6.20268,-46.73134,-1,inf
-5.80071,-43.99616,-1,inf
-6.12017,-46.70327,-1,inf
-6.12089,-46.70862,-1,inf
-5.05295,-39.14941,-1,inf
-5.27697,-40.97992,-1,inf
-5.24205,-40.99242,-1,inf
-5.94288,-46.52101,-1,inf
-5.14713,-40.98489,-1,inf
-5.4821,-43.36965,-1,inf
-5.52086,-43.64207,-1,inf
-4.87425,-39.34703,-1,inf
-6.05702,-47.96947,-1,inf
-5.99296,-47.64033,39,4.3655411219e-05
-5.65166,-45.29223,40,7.2715439604e-05
-5.65221,-45.29638,40,7.2715439604e-05
-5.64525,-45.28895,41,1.8705304675e-05
-5.64471,-45.28489,41,6.5072115958e-05
-5.64579,-45.29305,41,1.9237440915e-05
-5.64634,-45.2972,41,6.7580748382e-05
-5.6469,-45.30143,41,2.0590312494e-05
-5.99163,-47.64246,39,4.3655411219e-05
-5.05702,-41.10527,-1,inf
-5.64614,-45.28835,41,1.8705304675e-05
-5.64671,-45.29244,41,1.9237440915e-05
-5.64788,-45.30077,41,2.0590312494e-05
-5.64085,-45.29325,42,7.1559539305e-05
-5.42258,-43.74172,-1,inf
-5.64028,-45.28917,42,7.1559539305e-05
-5.37105,-43.6418,-1,inf
-5.70668,-47.01313,43,1.0471975512e-05
-5.70728,-47.01313,43,1.0471975512e-05
-5.30065,-44.38529,-1,inf
-4.62994,-39.77646,-1,inf
-5.4901,-46.00199,-1,inf
-4.38223,-38.27687,-1,inf
-5.27706,-44.66244,-1,inf
-5.27147,-44.66324,-1,inf
-5.12149,-43.72638,-1,inf
-5.22533,-45.05893,-1,inf
-5.21955,-45.05949,-1,inf
-4.54601,-40.46822,-1,inf
-5.13237,-44.66043,-1,inf
-5.29214,-47.3686,44,7.5223690761e-05
-5.28783,-47.3686,44,7.5223690761e-05
-5.14917,-47.72361,45,5.3702150803e-05
-4.87783,-45.79834,46,4.8760139221e-05
-4.8812,-45.79755,46,6.0400710152e-05
-4.88176,-45.80149,46,6.9210153977e-05
-4.87568,-45.80172,46,6.973531563e-05
-5.14727,-47.72604,45,5.3702150803e-05
-4.87511,-45.7977,46,4.8760139221e-05
-4.5786,-43.88396,-1,inf
-4.72521,-45.50204,47,3.2686006931e-05
-4.72444,-45.54054,48,3.7737262669e-05
-4.72705,-45.50169,47,3.2686006931e-05
-4.72658,-45.54023,48,3.7737262669e-05
-4.75189,-45.76029,-1,inf
-4.13606,-41.59841,49,7.6543481607e-05
-4.1367,-41.60276,49,7.6543481607e-05
-4.13287,-41.60774,-1,inf
-4.13414,-41.61644,-1,inf
-4.71306,-45.65715,-1,inf
-4.70593,-45.64937,-1,inf
-3.97906,-40.73093,-1,inf
-4.59188,-45.12849,-1,inf
-4.65809,-45.60861,50,7.4887556787e-05
-4.65217,-45.60928,50,3.0243636704e-05
-4.6538,-45.60869,50,3.0243636704e-05
-4.60946,-45.63542,-1,inf
-4.59066,-45.50255,-1,inf
-4.60358,-45.63638,-1,inf
-4.03425,-41.73273,-1,inf
-4.03168,-41.74662,-1,inf
-4.57411,-45.59782,-1,inf
-4.57474,-45.60234,-1,inf
-4.56821,-45.59858,-1,inf
-4.56884,-45.60311,-1,inf
-4.33691,-44.0255,51,5.7103459256e-05
-4.33736,-44.02875,51,5.7103459256e-05
-4.56055,-45.85096,52,4.1628919018e-05
-4.73984,-47.1797,53,2.367019479e-05
-4.55402,-45.84782,52,6.8652941757e-05
-4.55455,-45.85173,52,6.8652941757e-05
-4.55899,-45.85277,52,4.1628919018e-05
-4.55842,-45.84874,52,5.3607912084e-05
-4.74119,-47.17983,53,2.367019479e-05
-4.54083,-46.07198,-1,inf
-4.40351,-45.4736,54,8.602898167e-06
-4.40377,-45.47318,54,8.602898167e-06
-4.53836,-46.72478,-1,inf
-4.41363,-45.88046,-1,inf
-3.54663,-40.17579,-1,inf
-4.00466,-43.71397,55,5.3999643882e-05
-4.00422,-43.7109,55,5.3999643882e-05
-4.00084,-43.72394,56,5.3999890701e-05
-4.0004,-43.72087,56,5.3999890701e-05
-3.99479,-43.71843,-1,inf
-4.26274,-45.90622,57,5.6171602072e-05
-4.27179,-45.90446,-1,inf
-4.2658,-45.90522,57,5.6171602072e-05
-4.04574,-44.66764,58,6.2614821197e-05
-4.04523,-44.66408,58,6.2614821197e-05
-4.03973,-44.66486,59,6.2640286312e-05
-4.04025,-44.66842,59,6.2640286312e-05
-4.59097,-48.56754,60,3.8824074003e-05
-4.31636,-46.78908,-1,inf
-3.99777,-44.60598,-1,inf
-3.96367,-44.71799,61,6.264598207e-05
-3.96419,-44.72155,61,6.264598207e-05
-4.25161,-46.848,-1,inf
-4.25234,-46.85312,62,5.7333261482e-05
-3.6886,-43.00863,-1,inf
-4.41294,-48.55578,-1,inf
-3.81713,-44.37213,-1,inf
-4.05773,-46.23357,-1,inf
-4.05838,-46.23809,-1,inf
-4.05226,-46.23878,-1,inf
-4.05293,-46.24345,-1,inf
-4.05423,-46.25259,-1,inf
-4.40326,-48.78058,-1,inf
-4.2742,-47.90471,-1,inf
-3.83465,-44.95856,-1,inf
-4.33333,-48.58777,-1,inf
-4.23862,-48.09991,63,3.4735850414e-05
-4.267,-48.36192,64,4.3982083091e-05
-4.28576,-48.55443,65,6.204200836e-06
