latitude,longitude,cluster
-2.18841,-45.12583,90
-2.18236,-45.12302,91
-2.5202,-47.40598,-1
-2.18289,-45.12662,91
-2.76947,-49.25754,92
-2.76726,-49.25595,92
-2.73485,-49.38373,-1
-2.2177,-46.44779,93
-2.39719,-47.78608,94
-2.22144,-46.44635,93
-2.3985,-47.78839,94
-2.04229,-45.45998,-1
-1.97086,-45.42488,-1
-1.95527,-45.74205,-1
-2.11351,-46.84576,-1
-1.89191,-45.62855,95
-1.89247,-45.63236,95
-1.88566,-45.62543,95
-1.88623,-45.6293,95
-1.88679,-45.63314,95
-1.88882,-45.62529,95
-1.88941,-45.62912,95
-1.88999,-45.63294,95
-1.88312,-45.62598,95
-1.94971,-46.46114,-1
-2.16606,-48.10194,96
-2.12195,-48.07891,97
-1.92251,-46.73926,98
-1.92318,-46.74392,98
-2.16295,-48.10218,96
-1.92297,-46.74056,98
-2.11866,-48.0791,97
-1.80643,-46.05111,-1
-2.29424,-49.64682,99
-1.75765,-46.08359,100
-1.75826,-46.08768,100
-2.07017,-48.30561,101
-2.07105,-48.31163,101
-2.29334,-49.64843,99
-2.06778,-48.30865,101
-1.79944,-46.67018,-1
-2.05199,-48.43277,-1
-2.05288,-48.43872,-1
-1.6814,-46.12836,-1
-1.67555,-46.1292,-1
-1.89675,-48.28147,-1
-1.81478,-47.91061,102
-1.81559,-47.9161,102
-1.86114,-48.41351,103
-1.862,-48.41947,104
-1.69449,-47.31301,-1
-1.8161,-47.91277,102
-1.80954,-47.91364,-1
-1.86586,-48.41462,-1
-1.86678,-48.42064,-1
-1.85911,-48.41564,103
-1.86001,-48.42159,104
-1.75876,-48.24976,-1
-1.75961,-48.25554,-1
-1.75915,-48.18148,-1
-1.76321,-48.25171,-1
-1.3507,-45.7781,-1
-1.64718,-47.93428,-1
-1.64064,-47.93527,-1
-1.6682,-48.1189,-1
-1.66962,-48.2649,105
-1.66585,-48.26487,105
-1.35231,-46.68645,-1
-1.5944,-48.56525,-1
-1.4585,-47.65322,-1
-1.39068,-47.55242,-1
-1.39147,-47.55758,-1
-1.1933,-47.37858,106
-1.19023,-47.37762,106
-1.04799,-47.65162,-1
-1.02341,-48.05379,-1
-0.9817,-47.91051,-1
-0.89903,-47.76424,-1
